date,comb,damp,found,q_dis,v_jam,jam,q_pre,sg,still,merges,T_car_truck
2025-10-07,settled,0.9,True,2871.891891891892,19.413137492201404,190.0,3312.0,19.372392526754943,796,4432,1.10/1.40
2025-10-07,settled,0.95,True,3312.0,56.47892358423769,20.0,3128.0,5.5013927576601676,179,3772,1.10/1.40
2025-10-07,settled,0.95,True,3063.230769230769,21.009708422527464,135.0,2956.0,11.393452310601583,441,3990,1.10/1.40
2025-10-07,settled,0.95,True,2572.235294117647,25.571551710300795,175.0,3052.0,30.4225645295587,1495,4146,1.10/1.40
2025-10-07,settled,0.95,True,2714.88,23.08831806907979,130.0,3108.0,19.167123287671235,977,4181,1.10/1.40
2025-10-07,settled,0.95,True,2977.090909090909,21.59173284866661,170.0,3176.0,15.480498592681947,689,4172,1.10/1.40
2025-10-07,settled,0.95,True,3246.0,26.000073310903794,55.0,3220.0,4.087800222681724,169,3821,1.10/1.40
2025-10-07,settled,0.95,True,2886.0,21.068796737212413,195.0,3104.0,20.263452914798204,1034,4388,1.10/1.40
2025-10-07,settled,1.0,False,,,,,6.997389033942558,223,3724,1.10/1.40
2025-10-07,settled,1.0,True,3276.0,35.389804290373974,45.0,2952.0,4.610051993067591,170,3666,1.10/1.40
2025-10-07,settled,1.0,True,3069.5,22.39043329890717,125.0,3044.0,10.854246507602918,452,4041,1.10/1.40
2025-10-07,settled,1.0,True,2675.0526315789475,22.31879475924964,195.0,3124.0,30.155605549306337,1560,4283,1.10/1.40
2025-10-07,settled,1.0,True,2737.846153846154,22.713197150473544,135.0,3140.0,24.13867588292472,975,4094,1.10/1.40
2025-10-07,settled,1.0,True,3315.0,46.3956438971763,25.0,3228.0,5.236571813436605,181,3759,1.10/1.40
2025-10-07,settled,1.0,True,2854.769230769231,24.403569813156608,200.0,3096.0,23.756048571167717,1196,4406,1.10/1.40
2025-10-07,longer,0.9,True,2776.1052631578946,22.031739939175253,195.0,2872.0,18.39926402943882,705,4296,1.20/1.50
2025-10-07,longer,0.9,True,3058.6666666666665,22.033431663654778,140.0,2788.0,6.130820399113082,199,4041,1.20/1.50
2025-10-07,longer,0.9,True,2605.090909090909,18.02237001187951,225.0,3064.0,28.725868725868725,1047,4328,1.20/1.50
2025-10-07,longer,0.9,True,3020.25,18.529248362552405,165.0,2944.0,7.04351281541824,293,4249,1.20/1.50
2025-10-07,longer,0.9,True,2873.0,18.666638281904298,245.0,2372.0,14.317531021317212,623,4418,1.20/1.50
