timestamp,time_sec,q_pkw_A_D,q_lkw_A_D,q_kfz_A_D,q_pkw_A_E,q_lkw_A_E,q_kfz_A_E,q_pkw_F_E,q_lkw_F_E,q_kfz_F_E
2025-10-29 00:00:00,0,12.0,0.0,12.0,168.0,84.0,252.0,24.0,0.0,24.0
2025-10-29 00:05:00,300,48.0,0.0,48.0,180.0,36.0,216.0,36.0,0.0,36.0
2025-10-29 00:10:00,600,12.0,0.0,12.0,180.0,72.0,252.0,24.0,24.0,48.0
2025-10-29 00:15:00,900,36.0,0.0,36.0,60.0,24.0,84.0,48.0,12.0,60.0
2025-10-29 00:20:00,1200,0.0,0.0,0.0,168.0,84.0,252.0,36.0,12.0,48.0
2025-10-29 00:25:00,1500,12.0,0.0,12.0,120.0,108.0,228.0,48.0,12.0,60.0
2025-10-29 00:30:00,1800,0.0,0.0,0.0,108.0,60.0,168.0,24.0,12.0,36.0
2025-10-29 00:35:00,2100,12.0,12.0,24.0,192.0,48.0,240.0,36.0,0.0,36.0
2025-10-29 00:40:00,2400,24.0,12.0,36.0,120.0,60.0,180.0,12.0,0.0,12.0
2025-10-29 00:45:00,2700,36.0,0.0,36.0,132.0,84.0,216.0,12.0,36.0,48.0
2025-10-29 00:50:00,3000,0.0,0.0,0.0,72.0,132.0,204.0,36.0,24.0,60.0
2025-10-29 00:55:00,3300,0.0,0.0,0.0,108.0,84.0,192.0,12.0,0.0,12.0
2025-10-29 01:00:00,3600,12.0,0.0,12.0,84.0,84.0,168.0,36.0,0.0,36.0
2025-10-29 01:05:00,3900,12.0,0.0,12.0,84.0,60.0,144.0,0.0,0.0,0.0
2025-10-29 01:10:00,4200,24.0,0.0,24.0,120.0,60.0,180.0,12.0,36.0,48.0
2025-10-29 01:15:00,4500,24.0,0.0,24.0,192.0,60.0,252.0,24.0,0.0,24.0
2025-10-29 01:20:00,4800,12.0,0.0,12.0,72.0,24.0,96.0,36.0,0.0,36.0
2025-10-29 01:25:00,5100,0.0,0.0,0.0,96.0,36.0,132.0,0.0,12.0,12.0
2025-10-29 01:30:00,5400,36.0,0.0,36.0,60.0,24.0,84.0,12.0,0.0,12.0
2025-10-29 01:35:00,5700,24.0,0.0,24.0,48.0,60.0,108.0,0.0,12.0,12.0
