time_sec,timestamp,origin,destination,gtu_type,demand_veh_h
0,2025-10-27 00:00:00,N1_1,N5_3,CAR,168.0
0,2025-10-27 00:00:00,N1_1,N5_3,TRUCK,48.0
0,2025-10-27 00:00:00,N1_1,R6_8,CAR,0.0
0,2025-10-27 00:00:00,N1_1,R6_8,TRUCK,12.0
0,2025-10-27 00:00:00,R7_1,N5_3,CAR,0.0
0,2025-10-27 00:00:00,R7_1,N5_3,TRUCK,0.0
300,2025-10-27 00:05:00,N1_1,N5_3,CAR,156.0
300,2025-10-27 00:05:00,N1_1,N5_3,TRUCK,60.0
300,2025-10-27 00:05:00,N1_1,R6_8,CAR,0.0
300,2025-10-27 00:05:00,N1_1,R6_8,TRUCK,0.0
300,2025-10-27 00:05:00,R7_1,N5_3,CAR,84.0
300,2025-10-27 00:05:00,R7_1,N5_3,TRUCK,0.0
600,2025-10-27 00:10:00,N1_1,N5_3,CAR,192.0
600,2025-10-27 00:10:00,N1_1,N5_3,TRUCK,72.0
600,2025-10-27 00:10:00,N1_1,R6_8,CAR,24.0
600,2025-10-27 00:10:00,N1_1,R6_8,TRUCK,0.0
600,2025-10-27 00:10:00,R7_1,N5_3,CAR,12.0
600,2025-10-27 00:10:00,R7_1,N5_3,TRUCK,0.0
900,2025-10-27 00:15:00,N1_1,N5_3,CAR,60.0
900,2025-10-27 00:15:00,N1_1,N5_3,TRUCK,24.0
900,2025-10-27 00:15:00,N1_1,R6_8,CAR,12.0
900,2025-10-27 00:15:00,N1_1,R6_8,TRUCK,0.0
900,2025-10-27 00:15:00,R7_1,N5_3,CAR,12.0
900,2025-10-27 00:15:00,R7_1,N5_3,TRUCK,0.0
1200,2025-10-27 00:20:00,N1_1,N5_3,CAR,168.0
1200,2025-10-27 00:20:00,N1_1,N5_3,TRUCK,24.0
1200,2025-10-27 00:20:00,N1_1,R6_8,CAR,24.0
1200,2025-10-27 00:20:00,N1_1,R6_8,TRUCK,0.0
1200,2025-10-27 00:20:00,R7_1,N5_3,CAR,12.0
1200,2025-10-27 00:20:00,R7_1,N5_3,TRUCK,12.0
1500,2025-10-27 00:25:00,N1_1,N5_3,CAR,96.0
1500,2025-10-27 00:25:00,N1_1,N5_3,TRUCK,36.0
1500,2025-10-27 00:25:00,N1_1,R6_8,CAR,0.0
1500,2025-10-27 00:25:00,N1_1,R6_8,TRUCK,0.0
1500,2025-10-27 00:25:00,R7_1,N5_3,CAR,12.0
1500,2025-10-27 00:25:00,R7_1,N5_3,TRUCK,0.0
1800,2025-10-27 00:30:00,N1_1,N5_3,CAR,108.0
1800,2025-10-27 00:30:00,N1_1,N5_3,TRUCK,24.0
1800,2025-10-27 00:30:00,N1_1,R6_8,CAR,24.0
1800,2025-10-27 00:30:00,N1_1,R6_8,TRUCK,0.0
1800,2025-10-27 00:30:00,R7_1,N5_3,CAR,0.0
1800,2025-10-27 00:30:00,R7_1,N5_3,TRUCK,12.0
2100,2025-10-27 00:35:00,N1_1,N5_3,CAR,156.0
2100,2025-10-27 00:35:00,N1_1,N5_3,TRUCK,36.0
2100,2025-10-27 00:35:00,N1_1,R6_8,CAR,12.0
2100,2025-10-27 00:35:00,N1_1,R6_8,TRUCK,0.0
2100,2025-10-27 00:35:00,R7_1,N5_3,CAR,36.0
2100,2025-10-27 00:35:00,R7_1,N5_3,TRUCK,0.0
2400,2025-10-27 00:40:00,N1_1,N5_3,CAR,108.0
2400,2025-10-27 00:40:00,N1_1,N5_3,TRUCK,12.0
2400,2025-10-27 00:40:00,N1_1,R6_8,CAR,0.0
2400,2025-10-27 00:40:00,N1_1,R6_8,TRUCK,0.0
2400,2025-10-27 00:40:00,R7_1,N5_3,CAR,48.0
2400,2025-10-27 00:40:00,R7_1,N5_3,TRUCK,0.0
2700,2025-10-27 00:45:00,N1_1,N5_3,CAR,180.0
2700,2025-10-27 00:45:00,N1_1,N5_3,TRUCK,84.0
2700,2025-10-27 00:45:00,N1_1,R6_8,CAR,24.0
2700,2025-10-27 00:45:00,N1_1,R6_8,TRUCK,0.0
2700,2025-10-27 00:45:00,R7_1,N5_3,CAR,0.0
2700,2025-10-27 00:45:00,R7_1,N5_3,TRUCK,12.0
3000,2025-10-27 00:50:00,N1_1,N5_3,CAR,72.0
3000,2025-10-27 00:50:00,N1_1,N5_3,TRUCK,36.0
3000,2025-10-27 00:50:00,N1_1,R6_8,CAR,0.0
3000,2025-10-27 00:50:00,N1_1,R6_8,TRUCK,0.0
3000,2025-10-27 00:50:00,R7_1,N5_3,CAR,12.0
3000,2025-10-27 00:50:00,R7_1,N5_3,TRUCK,0.0
3300,2025-10-27 00:55:00,N1_1,N5_3,CAR,72.0
3300,2025-10-27 00:55:00,N1_1,N5_3,TRUCK,60.0
3300,2025-10-27 00:55:00,N1_1,R6_8,CAR,0.0
3300,2025-10-27 00:55:00,N1_1,R6_8,TRUCK,0.0
3300,2025-10-27 00:55:00,R7_1,N5_3,CAR,12.0
3300,2025-10-27 00:55:00,R7_1,N5_3,TRUCK,0.0
3600,2025-10-27 01:00:00,N1_1,N5_3,CAR,132.0
3600,2025-10-27 01:00:00,N1_1,N5_3,TRUCK,72.0
3600,2025-10-27 01:00:00,N1_1,R6_8,CAR,12.0
3600,2025-10-27 01:00:00,N1_1,R6_8,TRUCK,0.0
3600,2025-10-27 01:00:00,R7_1,N5_3,CAR,24.0
3600,2025-10-27 01:00:00,R7_1,N5_3,TRUCK,12.0
3900,2025-10-27 01:05:00,N1_1,N5_3,CAR,72.0
3900,2025-10-27 01:05:00,N1_1,N5_3,TRUCK,36.0
3900,2025-10-27 01:05:00,N1_1,R6_8,CAR,12.0
3900,2025-10-27 01:05:00,N1_1,R6_8,TRUCK,12.0
3900,2025-10-27 01:05:00,R7_1,N5_3,CAR,12.0
3900,2025-10-27 01:05:00,R7_1,N5_3,TRUCK,12.0
4200,2025-10-27 01:10:00,N1_1,N5_3,CAR,96.0
4200,2025-10-27 01:10:00,N1_1,N5_3,TRUCK,36.0
4200,2025-10-27 01:10:00,N1_1,R6_8,CAR,12.0
4200,2025-10-27 01:10:00,N1_1,R6_8,TRUCK,0.0
4200,2025-10-27 01:10:00,R7_1,N5_3,CAR,0.0
4200,2025-10-27 01:10:00,R7_1,N5_3,TRUCK,0.0
4500,2025-10-27 01:15:00,N1_1,N5_3,CAR,120.0
4500,2025-10-27 01:15:00,N1_1,N5_3,TRUCK,96.0
4500,2025-10-27 01:15:00,N1_1,R6_8,CAR,12.0
4500,2025-10-27 01:15:00,N1_1,R6_8,TRUCK,0.0
4500,2025-10-27 01:15:00,R7_1,N5_3,CAR,12.0
4500,2025-10-27 01:15:00,R7_1,N5_3,TRUCK,24.0
4800,2025-10-27 01:20:00,N1_1,N5_3,CAR,144.0
4800,2025-10-27 01:20:00,N1_1,N5_3,TRUCK,36.0
4800,2025-10-27 01:20:00,N1_1,R6_8,CAR,24.0
4800,2025-10-27 01:20:00,N1_1,R6_8,TRUCK,0.0
4800,2025-10-27 01:20:00,R7_1,N5_3,CAR,0.0
4800,2025-10-27 01:20:00,R7_1,N5_3,TRUCK,24.0
5100,2025-10-27 01:25:00,N1_1,N5_3,CAR,108.0
5100,2025-10-27 01:25:00,N1_1,N5_3,TRUCK,24.0
5100,2025-10-27 01:25:00,N1_1,R6_8,CAR,24.0
5100,2025-10-27 01:25:00,N1_1,R6_8,TRUCK,0.0
5100,2025-10-27 01:25:00,R7_1,N5_3,CAR,0.0
5100,2025-10-27 01:25:00,R7_1,N5_3,TRUCK,0.0
5400,2025-10-27 01:30:00,N1_1,N5_3,CAR,120.0
5400,2025-10-27 01:30:00,N1_1,N5_3,TRUCK,72.0
5400,2025-10-27 01:30:00,N1_1,R6_8,CAR,12.0
5400,2025-10-27 01:30:00,N1_1,R6_8,TRUCK,0.0
5400,2025-10-27 01:30:00,R7_1,N5_3,CAR,12.0
5400,2025-10-27 01:30:00,R7_1,N5_3,TRUCK,0.0
5700,2025-10-27 01:35:00,N1_1,N5_3,CAR,60.0
5700,2025-10-27 01:35:00,N1_1,N5_3,TRUCK,60.0
5700,2025-10-27 01:35:00,N1_1,R6_8,CAR,0.0
5700,2025-10-27 01:35:00,N1_1,R6_8,TRUCK,0.0
5700,2025-10-27 01:35:00,R7_1,N5_3,CAR,0.0
5700,2025-10-27 01:35:00,R7_1,N5_3,TRUCK,0.0
6000,2025-10-27 01:40:00,N1_1,N5_3,CAR,84.0
6000,2025-10-27 01:40:00,N1_1,N5_3,TRUCK,60.0
6000,2025-10-27 01:40:00,N1_1,R6_8,CAR,0.0
6000,2025-10-27 01:40:00,N1_1,R6_8,TRUCK,0.0
6000,2025-10-27 01:40:00,R7_1,N5_3,CAR,12.0
6000,2025-10-27 01:40:00,R7_1,N5_3,TRUCK,12.0
6300,2025-10-27 01:45:00,N1_1,N5_3,CAR,96.0
6300,2025-10-27 01:45:00,N1_1,N5_3,TRUCK,72.0
6300,2025-10-27 01:45:00,N1_1,R6_8,CAR,24.0
6300,2025-10-27 01:45:00,N1_1,R6_8,TRUCK,0.0
6300,2025-10-27 01:45:00,R7_1,N5_3,CAR,24.0
6300,2025-10-27 01:45:00,R7_1,N5_3,TRUCK,12.0
6600,2025-10-27 01:50:00,N1_1,N5_3,CAR,96.0
6600,2025-10-27 01:50:00,N1_1,N5_3,TRUCK,36.0
6600,2025-10-27 01:50:00,N1_1,R6_8,CAR,0.0
6600,2025-10-27 01:50:00,N1_1,R6_8,TRUCK,0.0
6600,2025-10-27 01:50:00,R7_1,N5_3,CAR,12.0
6600,2025-10-27 01:50:00,R7_1,N5_3,TRUCK,24.0
6900,2025-10-27 01:55:00,N1_1,N5_3,CAR,72.0
6900,2025-10-27 01:55:00,N1_1,N5_3,TRUCK,96.0
6900,2025-10-27 01:55:00,N1_1,R6_8,CAR,0.0
6900,2025-10-27 01:55:00,N1_1,R6_8,TRUCK,0.0
6900,2025-10-27 01:55:00,R7_1,N5_3,CAR,24.0
6900,2025-10-27 01:55:00,R7_1,N5_3,TRUCK,0.0
7200,2025-10-27 02:00:00,N1_1,N5_3,CAR,60.0
7200,2025-10-27 02:00:00,N1_1,N5_3,TRUCK,72.0
7200,2025-10-27 02:00:00,N1_1,R6_8,CAR,0.0
7200,2025-10-27 02:00:00,N1_1,R6_8,TRUCK,0.0
7200,2025-10-27 02:00:00,R7_1,N5_3,CAR,12.0
7200,2025-10-27 02:00:00,R7_1,N5_3,TRUCK,0.0
7500,2025-10-27 02:05:00,N1_1,N5_3,CAR,108.0
7500,2025-10-27 02:05:00,N1_1,N5_3,TRUCK,60.0
7500,2025-10-27 02:05:00,N1_1,R6_8,CAR,12.0
7500,2025-10-27 02:05:00,N1_1,R6_8,TRUCK,0.0
7500,2025-10-27 02:05:00,R7_1,N5_3,CAR,12.0
7500,2025-10-27 02:05:00,R7_1,N5_3,TRUCK,0.0
7800,2025-10-27 02:10:00,N1_1,N5_3,CAR,96.0
7800,2025-10-27 02:10:00,N1_1,N5_3,TRUCK,24.0
7800,2025-10-27 02:10:00,N1_1,R6_8,CAR,0.0
7800,2025-10-27 02:10:00,N1_1,R6_8,TRUCK,0.0
7800,2025-10-27 02:10:00,R7_1,N5_3,CAR,24.0
7800,2025-10-27 02:10:00,R7_1,N5_3,TRUCK,0.0
8100,2025-10-27 02:15:00,N1_1,N5_3,CAR,96.0
8100,2025-10-27 02:15:00,N1_1,N5_3,TRUCK,48.0
8100,2025-10-27 02:15:00,N1_1,R6_8,CAR,0.0
8100,2025-10-27 02:15:00,N1_1,R6_8,TRUCK,0.0
8100,2025-10-27 02:15:00,R7_1,N5_3,CAR,36.0
8100,2025-10-27 02:15:00,R7_1,N5_3,TRUCK,24.0
8400,2025-10-27 02:20:00,N1_1,N5_3,CAR,108.0
8400,2025-10-27 02:20:00,N1_1,N5_3,TRUCK,84.0
8400,2025-10-27 02:20:00,N1_1,R6_8,CAR,12.0
8400,2025-10-27 02:20:00,N1_1,R6_8,TRUCK,0.0
8400,2025-10-27 02:20:00,R7_1,N5_3,CAR,12.0
8400,2025-10-27 02:20:00,R7_1,N5_3,TRUCK,12.0
8700,2025-10-27 02:25:00,N1_1,N5_3,CAR,36.0
8700,2025-10-27 02:25:00,N1_1,N5_3,TRUCK,24.0
8700,2025-10-27 02:25:00,N1_1,R6_8,CAR,12.0
8700,2025-10-27 02:25:00,N1_1,R6_8,TRUCK,12.0
8700,2025-10-27 02:25:00,R7_1,N5_3,CAR,12.0
8700,2025-10-27 02:25:00,R7_1,N5_3,TRUCK,0.0
9000,2025-10-27 02:30:00,N1_1,N5_3,CAR,108.0
9000,2025-10-27 02:30:00,N1_1,N5_3,TRUCK,48.0
9000,2025-10-27 02:30:00,N1_1,R6_8,CAR,0.0
9000,2025-10-27 02:30:00,N1_1,R6_8,TRUCK,0.0
9000,2025-10-27 02:30:00,R7_1,N5_3,CAR,0.0
9000,2025-10-27 02:30:00,R7_1,N5_3,TRUCK,0.0
9300,2025-10-27 02:35:00,N1_1,N5_3,CAR,96.0
9300,2025-10-27 02:35:00,N1_1,N5_3,TRUCK,24.0
9300,2025-10-27 02:35:00,N1_1,R6_8,CAR,0.0
9300,2025-10-27 02:35:00,N1_1,R6_8,TRUCK,0.0
9300,2025-10-27 02:35:00,R7_1,N5_3,CAR,0.0
9300,2025-10-27 02:35:00,R7_1,N5_3,TRUCK,12.0
9600,2025-10-27 02:40:00,N1_1,N5_3,CAR,48.0
9600,2025-10-27 02:40:00,N1_1,N5_3,TRUCK,96.0
9600,2025-10-27 02:40:00,N1_1,R6_8,CAR,0.0
9600,2025-10-27 02:40:00,N1_1,R6_8,TRUCK,0.0
9600,2025-10-27 02:40:00,R7_1,N5_3,CAR,0.0
9600,2025-10-27 02:40:00,R7_1,N5_3,TRUCK,0.0
9900,2025-10-27 02:45:00,N1_1,N5_3,CAR,24.0
9900,2025-10-27 02:45:00,N1_1,N5_3,TRUCK,60.0
9900,2025-10-27 02:45:00,N1_1,R6_8,CAR,12.0
9900,2025-10-27 02:45:00,N1_1,R6_8,TRUCK,0.0
9900,2025-10-27 02:45:00,R7_1,N5_3,CAR,0.0
9900,2025-10-27 02:45:00,R7_1,N5_3,TRUCK,24.0
10200,2025-10-27 02:50:00,N1_1,N5_3,CAR,84.0
10200,2025-10-27 02:50:00,N1_1,N5_3,TRUCK,72.0
10200,2025-10-27 02:50:00,N1_1,R6_8,CAR,12.0
10200,2025-10-27 02:50:00,N1_1,R6_8,TRUCK,0.0
10200,2025-10-27 02:50:00,R7_1,N5_3,CAR,0.0
10200,2025-10-27 02:50:00,R7_1,N5_3,TRUCK,0.0
10500,2025-10-27 02:55:00,N1_1,N5_3,CAR,72.0
10500,2025-10-27 02:55:00,N1_1,N5_3,TRUCK,96.0
10500,2025-10-27 02:55:00,N1_1,R6_8,CAR,0.0
10500,2025-10-27 02:55:00,N1_1,R6_8,TRUCK,0.0
10500,2025-10-27 02:55:00,R7_1,N5_3,CAR,24.0
10500,2025-10-27 02:55:00,R7_1,N5_3,TRUCK,0.0
10800,2025-10-27 03:00:00,N1_1,N5_3,CAR,84.0
10800,2025-10-27 03:00:00,N1_1,N5_3,TRUCK,84.0
10800,2025-10-27 03:00:00,N1_1,R6_8,CAR,0.0
10800,2025-10-27 03:00:00,N1_1,R6_8,TRUCK,0.0
10800,2025-10-27 03:00:00,R7_1,N5_3,CAR,36.0
10800,2025-10-27 03:00:00,R7_1,N5_3,TRUCK,12.0
11100,2025-10-27 03:05:00,N1_1,N5_3,CAR,96.0
11100,2025-10-27 03:05:00,N1_1,N5_3,TRUCK,72.0
11100,2025-10-27 03:05:00,N1_1,R6_8,CAR,12.0
11100,2025-10-27 03:05:00,N1_1,R6_8,TRUCK,0.0
11100,2025-10-27 03:05:00,R7_1,N5_3,CAR,0.0
11100,2025-10-27 03:05:00,R7_1,N5_3,TRUCK,12.0
11400,2025-10-27 03:10:00,N1_1,N5_3,CAR,48.0
11400,2025-10-27 03:10:00,N1_1,N5_3,TRUCK,72.0
11400,2025-10-27 03:10:00,N1_1,R6_8,CAR,0.0
11400,2025-10-27 03:10:00,N1_1,R6_8,TRUCK,12.0
11400,2025-10-27 03:10:00,R7_1,N5_3,CAR,24.0
11400,2025-10-27 03:10:00,R7_1,N5_3,TRUCK,12.0
11700,2025-10-27 03:15:00,N1_1,N5_3,CAR,72.0
11700,2025-10-27 03:15:00,N1_1,N5_3,TRUCK,96.0
11700,2025-10-27 03:15:00,N1_1,R6_8,CAR,0.0
11700,2025-10-27 03:15:00,N1_1,R6_8,TRUCK,0.0
11700,2025-10-27 03:15:00,R7_1,N5_3,CAR,24.0
11700,2025-10-27 03:15:00,R7_1,N5_3,TRUCK,0.0
12000,2025-10-27 03:20:00,N1_1,N5_3,CAR,48.0
12000,2025-10-27 03:20:00,N1_1,N5_3,TRUCK,84.0
12000,2025-10-27 03:20:00,N1_1,R6_8,CAR,12.0
12000,2025-10-27 03:20:00,N1_1,R6_8,TRUCK,0.0
12000,2025-10-27 03:20:00,R7_1,N5_3,CAR,12.0
12000,2025-10-27 03:20:00,R7_1,N5_3,TRUCK,0.0
12300,2025-10-27 03:25:00,N1_1,N5_3,CAR,36.0
12300,2025-10-27 03:25:00,N1_1,N5_3,TRUCK,96.0
12300,2025-10-27 03:25:00,N1_1,R6_8,CAR,12.0
12300,2025-10-27 03:25:00,N1_1,R6_8,TRUCK,0.0
12300,2025-10-27 03:25:00,R7_1,N5_3,CAR,24.0
12300,2025-10-27 03:25:00,R7_1,N5_3,TRUCK,0.0
12600,2025-10-27 03:30:00,N1_1,N5_3,CAR,96.0
12600,2025-10-27 03:30:00,N1_1,N5_3,TRUCK,84.0
12600,2025-10-27 03:30:00,N1_1,R6_8,CAR,0.0
12600,2025-10-27 03:30:00,N1_1,R6_8,TRUCK,0.0
12600,2025-10-27 03:30:00,R7_1,N5_3,CAR,12.0
12600,2025-10-27 03:30:00,R7_1,N5_3,TRUCK,0.0
12900,2025-10-27 03:35:00,N1_1,N5_3,CAR,120.0
12900,2025-10-27 03:35:00,N1_1,N5_3,TRUCK,96.0
12900,2025-10-27 03:35:00,N1_1,R6_8,CAR,0.0
12900,2025-10-27 03:35:00,N1_1,R6_8,TRUCK,0.0
12900,2025-10-27 03:35:00,R7_1,N5_3,CAR,24.0
12900,2025-10-27 03:35:00,R7_1,N5_3,TRUCK,12.0
13200,2025-10-27 03:40:00,N1_1,N5_3,CAR,48.0
13200,2025-10-27 03:40:00,N1_1,N5_3,TRUCK,84.0
13200,2025-10-27 03:40:00,N1_1,R6_8,CAR,12.0
13200,2025-10-27 03:40:00,N1_1,R6_8,TRUCK,0.0
13200,2025-10-27 03:40:00,R7_1,N5_3,CAR,24.0
13200,2025-10-27 03:40:00,R7_1,N5_3,TRUCK,0.0
13500,2025-10-27 03:45:00,N1_1,N5_3,CAR,132.0
13500,2025-10-27 03:45:00,N1_1,N5_3,TRUCK,108.0
13500,2025-10-27 03:45:00,N1_1,R6_8,CAR,36.0
13500,2025-10-27 03:45:00,N1_1,R6_8,TRUCK,0.0
13500,2025-10-27 03:45:00,R7_1,N5_3,CAR,24.0
13500,2025-10-27 03:45:00,R7_1,N5_3,TRUCK,0.0
13800,2025-10-27 03:50:00,N1_1,N5_3,CAR,108.0
13800,2025-10-27 03:50:00,N1_1,N5_3,TRUCK,96.0
13800,2025-10-27 03:50:00,N1_1,R6_8,CAR,0.0
13800,2025-10-27 03:50:00,N1_1,R6_8,TRUCK,0.0
13800,2025-10-27 03:50:00,R7_1,N5_3,CAR,12.0
13800,2025-10-27 03:50:00,R7_1,N5_3,TRUCK,24.0
14100,2025-10-27 03:55:00,N1_1,N5_3,CAR,96.0
14100,2025-10-27 03:55:00,N1_1,N5_3,TRUCK,84.0
14100,2025-10-27 03:55:00,N1_1,R6_8,CAR,24.0
14100,2025-10-27 03:55:00,N1_1,R6_8,TRUCK,12.0
14100,2025-10-27 03:55:00,R7_1,N5_3,CAR,24.0
14100,2025-10-27 03:55:00,R7_1,N5_3,TRUCK,24.0
14400,2025-10-27 04:00:00,N1_1,N5_3,CAR,60.0
14400,2025-10-27 04:00:00,N1_1,N5_3,TRUCK,84.0
14400,2025-10-27 04:00:00,N1_1,R6_8,CAR,0.0
14400,2025-10-27 04:00:00,N1_1,R6_8,TRUCK,12.0
14400,2025-10-27 04:00:00,R7_1,N5_3,CAR,24.0
14400,2025-10-27 04:00:00,R7_1,N5_3,TRUCK,0.0
14700,2025-10-27 04:05:00,N1_1,N5_3,CAR,96.0
14700,2025-10-27 04:05:00,N1_1,N5_3,TRUCK,96.0
14700,2025-10-27 04:05:00,N1_1,R6_8,CAR,0.0
14700,2025-10-27 04:05:00,N1_1,R6_8,TRUCK,0.0
14700,2025-10-27 04:05:00,R7_1,N5_3,CAR,36.0
14700,2025-10-27 04:05:00,R7_1,N5_3,TRUCK,12.0
15000,2025-10-27 04:10:00,N1_1,N5_3,CAR,108.0
15000,2025-10-27 04:10:00,N1_1,N5_3,TRUCK,84.0
15000,2025-10-27 04:10:00,N1_1,R6_8,CAR,36.0
15000,2025-10-27 04:10:00,N1_1,R6_8,TRUCK,0.0
15000,2025-10-27 04:10:00,R7_1,N5_3,CAR,24.0
15000,2025-10-27 04:10:00,R7_1,N5_3,TRUCK,0.0
15300,2025-10-27 04:15:00,N1_1,N5_3,CAR,144.0
15300,2025-10-27 04:15:00,N1_1,N5_3,TRUCK,132.0
15300,2025-10-27 04:15:00,N1_1,R6_8,CAR,12.0
15300,2025-10-27 04:15:00,N1_1,R6_8,TRUCK,0.0
