timestamp,time_sec,q_pkw_A_D,q_lkw_A_D,q_kfz_A_D,q_pkw_A_E,q_lkw_A_E,q_kfz_A_E,q_pkw_F_E,q_lkw_F_E,q_kfz_F_E
2025-10-14 00:00:00,0,36.0,0.0,36.0,180.0,36.0,216.0,24.0,12.0,36.0
2025-10-14 00:05:00,300,72.0,12.0,84.0,192.0,48.0,240.0,12.0,0.0,12.0
2025-10-14 00:10:00,600,36.0,0.0,36.0,108.0,72.0,180.0,0.0,0.0,0.0
2025-10-14 00:15:00,900,0.0,12.0,12.0,144.0,132.0,276.0,0.0,24.0,24.0
2025-10-14 00:20:00,1200,36.0,0.0,36.0,120.0,84.0,204.0,12.0,0.0,12.0
2025-10-14 00:25:00,1500,24.0,0.0,24.0,120.0,60.0,180.0,24.0,0.0,24.0
2025-10-14 00:30:00,1800,60.0,0.0,60.0,108.0,72.0,180.0,36.0,0.0,36.0
2025-10-14 00:35:00,2100,12.0,0.0,12.0,108.0,36.0,144.0,36.0,12.0,48.0
2025-10-14 00:40:00,2400,36.0,0.0,36.0,144.0,84.0,228.0,12.0,12.0,24.0
2025-10-14 00:45:00,2700,0.0,0.0,0.0,108.0,48.0,156.0,24.0,0.0,24.0
2025-10-14 00:50:00,3000,24.0,0.0,24.0,192.0,48.0,240.0,0.0,36.0,36.0
2025-10-14 00:55:00,3300,48.0,24.0,72.0,96.0,48.0,144.0,36.0,12.0,48.0
2025-10-14 01:00:00,3600,12.0,0.0,12.0,120.0,36.0,156.0,12.0,0.0,12.0
2025-10-14 01:05:00,3900,24.0,0.0,24.0,84.0,48.0,132.0,36.0,0.0,36.0
2025-10-14 01:10:00,4200,12.0,0.0,12.0,84.0,96.0,180.0,12.0,12.0,24.0
2025-10-14 01:15:00,4500,0.0,0.0,0.0,96.0,60.0,156.0,12.0,12.0,24.0
2025-10-14 01:20:00,4800,12.0,0.0,12.0,96.0,72.0,168.0,12.0,36.0,48.0
2025-10-14 01:25:00,5100,0.0,0.0,0.0,96.0,108.0,204.0,0.0,36.0,36.0
2025-10-14 01:30:00,5400,12.0,0.0,12.0,156.0,60.0,216.0,0.0,12.0,12.0
2025-10-14 01:35:00,5700,12.0,0.0,12.0,120.0,72.0,192.0,12.0,12.0,24.0
2025-10-14 01:40:00,6000,12.0,0.0,12.0,108.0,72.0,180.0,24.0,36.0,60.0
