timestamp,time_sec,q_pkw_A_D,q_lkw_A_D,q_kfz_A_D,q_pkw_A_E,q_lkw_A_E,q_kfz_A_E,q_pkw_F_E,q_lkw_F_E,q_kfz_F_E
2025-09-17 00:00:00,0,60.0,0.0,60.0,204.0,48.0,252.0,48.0,0.0,48.0
2025-09-17 00:05:00,300,24.0,0.0,24.0,84.0,72.0,156.0,36.0,0.0,36.0
2025-09-17 00:10:00,600,48.0,0.0,48.0,144.0,60.0,204.0,24.0,0.0,24.0
2025-09-17 00:15:00,900,36.0,0.0,36.0,180.0,60.0,240.0,0.0,0.0,0.0
2025-09-17 00:20:00,1200,60.0,0.0,60.0,96.0,72.0,168.0,24.0,12.0,36.0
2025-09-17 00:25:00,1500,12.0,12.0,24.0,252.0,36.0,288.0,12.0,12.0,24.0
2025-09-17 00:30:00,1800,84.0,0.0,84.0,300.0,144.0,444.0,12.0,0.0,12.0
2025-09-17 00:35:00,2100,60.0,0.0,60.0,288.0,84.0,372.0,12.0,0.0,12.0
2025-09-17 00:40:00,2400,48.0,0.0,48.0,168.0,96.0,264.0,12.0,12.0,24.0
2025-09-17 00:45:00,2700,36.0,0.0,36.0,156.0,12.0,168.0,0.0,0.0,0.0
2025-09-17 00:50:00,3000,48.0,0.0,48.0,156.0,48.0,204.0,0.0,0.0,0.0
2025-09-17 00:55:00,3300,12.0,0.0,12.0,132.0,84.0,216.0,36.0,24.0,60.0
2025-09-17 01:00:00,3600,12.0,12.0,24.0,132.0,48.0,180.0,12.0,0.0,12.0
2025-09-17 01:05:00,3900,0.0,0.0,0.0,132.0,36.0,168.0,12.0,0.0,12.0
2025-09-17 01:10:00,4200,0.0,0.0,0.0,108.0,120.0,228.0,36.0,12.0,48.0
2025-09-17 01:15:00,4500,12.0,0.0,12.0,144.0,96.0,240.0,12.0,0.0,12.0
2025-09-17 01:20:00,4800,48.0,0.0,48.0,108.0,24.0,132.0,48.0,24.0,72.0
2025-09-17 01:25:00,5100,24.0,0.0,24.0,84.0,12.0,96.0,24.0,0.0,24.0
2025-09-17 01:30:00,5400,0.0,0.0,0.0,108.0,48.0,156.0,0.0,12.0,12.0
2025-09-17 01:35:00,5700,0.0,0.0,0.0,48.0,84.0,132.0,0.0,24.0,24.0
2025-09-17 01:40:00,6000,0.0,0.0,0.0,72.0,60.0,132.0,12.0,0.0,12.0
2025-09-17 01:45:00,6300,12.0,0.0,12.0,60.0,84.0,144.0,36.0,0.0,36.0
2025-09-17 01:50:00,6600,0.0,0.0,0.0,60.0,36.0,96.0,12.0,12.0,24.0
2025-09-17 01:55:00,6900,0.0,0.0,0.0,96.0,48.0,144.0,36.0,48.0,84.0
