timestamp,time_sec,q_pkw_A_D,q_lkw_A_D,q_kfz_A_D,q_pkw_A_E,q_lkw_A_E,q_kfz_A_E,q_pkw_F_E,q_lkw_F_E,q_kfz_F_E
2025-09-25 00:00:00,0,48.0,0.0,48.0,720.0,60.0,780.0,1032.0,12.0,1044.0
2025-09-25 00:05:00,300,24.0,0.0,24.0,492.0,36.0,528.0,1032.0,24.0,1056.0
2025-09-25 00:10:00,600,108.0,0.0,108.0,540.0,72.0,612.0,1116.0,12.0,1128.0
2025-09-25 00:15:00,900,48.0,0.0,48.0,672.0,84.0,756.0,840.0,0.0,840.0
2025-09-25 00:20:00,1200,60.0,0.0,60.0,468.0,84.0,552.0,900.0,12.0,912.0
2025-09-25 00:25:00,1500,72.0,0.0,72.0,480.0,72.0,552.0,1008.0,0.0,1008.0
2025-09-25 00:30:00,1800,60.0,0.0,60.0,372.0,96.0,468.0,600.0,0.0,600.0
2025-09-25 00:35:00,2100,24.0,0.0,24.0,564.0,120.0,684.0,396.0,12.0,408.0
2025-09-25 00:40:00,2400,84.0,0.0,84.0,324.0,48.0,372.0,144.0,0.0,144.0
2025-09-25 00:45:00,2700,24.0,0.0,24.0,180.0,72.0,252.0,108.0,12.0,120.0
2025-09-25 00:50:00,3000,48.0,24.0,72.0,252.0,48.0,300.0,132.0,0.0,132.0
2025-09-25 00:55:00,3300,48.0,0.0,48.0,264.0,60.0,324.0,84.0,0.0,84.0
2025-09-25 01:00:00,3600,24.0,0.0,24.0,204.0,36.0,240.0,72.0,0.0,72.0
2025-09-25 01:05:00,3900,24.0,0.0,24.0,180.0,48.0,228.0,60.0,0.0,60.0
2025-09-25 01:10:00,4200,24.0,0.0,24.0,144.0,96.0,240.0,84.0,12.0,96.0
2025-09-25 01:15:00,4500,24.0,0.0,24.0,132.0,24.0,156.0,72.0,0.0,72.0
2025-09-25 01:20:00,4800,36.0,0.0,36.0,108.0,48.0,156.0,36.0,0.0,36.0
2025-09-25 01:25:00,5100,48.0,0.0,48.0,96.0,60.0,156.0,48.0,24.0,72.0
2025-09-25 01:30:00,5400,24.0,0.0,24.0,84.0,96.0,180.0,60.0,12.0,72.0
2025-09-25 01:35:00,5700,0.0,0.0,0.0,84.0,84.0,168.0,12.0,0.0,12.0
2025-09-25 01:40:00,6000,0.0,0.0,0.0,144.0,72.0,216.0,0.0,0.0,0.0
2025-09-25 01:45:00,6300,0.0,0.0,0.0,108.0,60.0,168.0,24.0,24.0,48.0
2025-09-25 01:50:00,6600,48.0,0.0,48.0,168.0,48.0,216.0,0.0,0.0,0.0
2025-09-25 01:55:00,6900,0.0,0.0,0.0,96.0,36.0,132.0,24.0,0.0,24.0
2025-09-25 02:00:00,7200,12.0,0.0,12.0,108.0,48.0,156.0,12.0,12.0,24.0
2025-09-25 02:05:00,7500,0.0,0.0,0.0,120.0,48.0,168.0,48.0,36.0,84.0
2025-09-25 02:10:00,7800,24.0,0.0,24.0,132.0,60.0,192.0,24.0,0.0,24.0
2025-09-25 02:15:00,8100,0.0,0.0,0.0,120.0,72.0,192.0,12.0,0.0,12.0
2025-09-25 02:20:00,8400,0.0,0.0,0.0,72.0,36.0,108.0,12.0,0.0,12.0
2025-09-25 02:25:00,8700,24.0,0.0,24.0,72.0,72.0,144.0,12.0,60.0,72.0
2025-09-25 02:30:00,9000,0.0,0.0,0.0,72.0,192.0,264.0,0.0,36.0,36.0
2025-09-25 02:35:00,9300,0.0,0.0,0.0,96.0,48.0,144.0,0.0,60.0,60.0
2025-09-25 02:40:00,9600,0.0,0.0,0.0,84.0,108.0,192.0,24.0,0.0,24.0
2025-09-25 02:45:00,9900,0.0,0.0,0.0,72.0,72.0,144.0,0.0,0.0,0.0
2025-09-25 02:50:00,10200,0.0,0.0,0.0,60.0,12.0,72.0,24.0,12.0,36.0
2025-09-25 02:55:00,10500,12.0,0.0,12.0,144.0,48.0,192.0,0.0,12.0,12.0
2025-09-25 03:00:00,10800,0.0,0.0,0.0,84.0,84.0,168.0,36.0,36.0,72.0
2025-09-25 03:05:00,11100,0.0,0.0,0.0,84.0,60.0,144.0,12.0,0.0,12.0
2025-09-25 03:10:00,11400,0.0,12.0,12.0,84.0,36.0,120.0,24.0,0.0,24.0
2025-09-25 03:15:00,11700,12.0,0.0,12.0,48.0,84.0,132.0,12.0,12.0,24.0
2025-09-25 03:20:00,12000,0.0,12.0,12.0,60.0,96.0,156.0,24.0,0.0,24.0
2025-09-25 03:25:00,12300,12.0,12.0,24.0,144.0,72.0,216.0,36.0,12.0,48.0
2025-09-25 03:30:00,12600,0.0,12.0,12.0,120.0,72.0,192.0,24.0,0.0,24.0
2025-09-25 03:35:00,12900,24.0,0.0,24.0,108.0,72.0,180.0,72.0,12.0,84.0
2025-09-25 03:40:00,13200,0.0,0.0,0.0,96.0,108.0,204.0,0.0,0.0,0.0
2025-09-25 03:45:00,13500,24.0,0.0,24.0,168.0,120.0,288.0,12.0,24.0,36.0
2025-09-25 03:50:00,13800,24.0,12.0,36.0,132.0,108.0,240.0,12.0,24.0,36.0
2025-09-25 03:55:00,14100,12.0,24.0,36.0,96.0,108.0,204.0,24.0,0.0,24.0
2025-09-25 04:00:00,14400,0.0,0.0,0.0,72.0,84.0,156.0,12.0,24.0,36.0
2025-09-25 04:05:00,14700,24.0,0.0,24.0,132.0,120.0,252.0,12.0,24.0,36.0
2025-09-25 04:10:00,15000,12.0,0.0,12.0,72.0,132.0,204.0,60.0,0.0,60.0
2025-09-25 04:15:00,15300,0.0,0.0,0.0,108.0,96.0,204.0,60.0,0.0,60.0
2025-09-25 04:20:00,15600,12.0,0.0,12.0,96.0,108.0,204.0,36.0,24.0,60.0
2025-09-25 04:25:00,15900,0.0,0.0,0.0,60.0,120.0,180.0,36.0,24.0,60.0
2025-09-25 04:30:00,16200,24.0,0.0,24.0,180.0,180.0,360.0,24.0,24.0,48.0
2025-09-25 04:35:00,16500,48.0,0.0,48.0,96.0,96.0,192.0,24.0,48.0,72.0
2025-09-25 04:40:00,16800,0.0,0.0,0.0,180.0,132.0,312.0,36.0,24.0,60.0
2025-09-25 04:45:00,17100,48.0,0.0,48.0,228.0,108.0,336.0,60.0,0.0,60.0
2025-09-25 04:50:00,17400,24.0,0.0,24.0,156.0,180.0,336.0,24.0,0.0,24.0
2025-09-25 04:55:00,17700,36.0,0.0,36.0,216.0,204.0,420.0,72.0,24.0,96.0
2025-09-25 05:00:00,18000,24.0,0.0,24.0,192.0,144.0,336.0,48.0,0.0,48.0
2025-09-25 05:05:00,18300,48.0,0.0,48.0,264.0,168.0,432.0,84.0,72.0,156.0
2025-09-25 05:10:00,18600,60.0,0.0,60.0,324.0,240.0,564.0,192.0,48.0,240.0
2025-09-25 05:15:00,18900,24.0,0.0,24.0,240.0,180.0,420.0,144.0,12.0,156.0
2025-09-25 05:20:00,19200,60.0,0.0,60.0,324.0,228.0,552.0,132.0,36.0,168.0
