timestamp,time_sec,q_pkw_A_D,q_lkw_A_D,q_kfz_A_D,q_pkw_A_E,q_lkw_A_E,q_kfz_A_E,q_pkw_F_E,q_lkw_F_E,q_kfz_F_E
2025-09-22 00:00:00,0,24.0,0.0,24.0,216.0,24.0,240.0,48.0,12.0,60.0
2025-09-22 00:05:00,300,24.0,12.0,36.0,192.0,60.0,252.0,48.0,0.0,48.0
2025-09-22 00:10:00,600,12.0,0.0,12.0,312.0,48.0,360.0,36.0,0.0,36.0
2025-09-22 00:15:00,900,48.0,0.0,48.0,324.0,60.0,384.0,12.0,0.0,12.0
2025-09-22 00:20:00,1200,12.0,0.0,12.0,264.0,72.0,336.0,12.0,12.0,24.0
2025-09-22 00:25:00,1500,72.0,0.0,72.0,192.0,84.0,276.0,24.0,0.0,24.0
2025-09-22 00:30:00,1800,24.0,0.0,24.0,192.0,48.0,240.0,24.0,0.0,24.0
2025-09-22 00:35:00,2100,12.0,0.0,12.0,204.0,60.0,264.0,24.0,12.0,36.0
2025-09-22 00:40:00,2400,24.0,0.0,24.0,240.0,72.0,312.0,48.0,0.0,48.0
2025-09-22 00:45:00,2700,24.0,0.0,24.0,156.0,48.0,204.0,12.0,0.0,12.0
2025-09-22 00:50:00,3000,12.0,0.0,12.0,108.0,48.0,156.0,12.0,0.0,12.0
2025-09-22 00:55:00,3300,36.0,0.0,36.0,144.0,60.0,204.0,60.0,12.0,72.0
2025-09-22 01:00:00,3600,0.0,0.0,0.0,144.0,96.0,240.0,12.0,0.0,12.0
2025-09-22 01:05:00,3900,12.0,0.0,12.0,216.0,72.0,288.0,0.0,0.0,0.0
2025-09-22 01:10:00,4200,0.0,0.0,0.0,192.0,60.0,252.0,0.0,0.0,0.0
2025-09-22 01:15:00,4500,36.0,0.0,36.0,108.0,36.0,144.0,0.0,12.0,12.0
2025-09-22 01:20:00,4800,0.0,0.0,0.0,108.0,48.0,156.0,12.0,12.0,24.0
2025-09-22 01:25:00,5100,36.0,0.0,36.0,120.0,48.0,168.0,36.0,24.0,60.0
2025-09-22 01:30:00,5400,24.0,0.0,24.0,156.0,108.0,264.0,48.0,0.0,48.0
2025-09-22 01:35:00,5700,36.0,0.0,36.0,60.0,60.0,120.0,24.0,24.0,48.0
2025-09-22 01:40:00,6000,12.0,0.0,12.0,144.0,24.0,168.0,12.0,0.0,12.0
2025-09-22 01:45:00,6300,12.0,0.0,12.0,84.0,48.0,132.0,12.0,0.0,12.0
2025-09-22 01:50:00,6600,12.0,0.0,12.0,48.0,60.0,108.0,0.0,0.0,0.0
2025-09-22 01:55:00,6900,0.0,12.0,12.0,60.0,60.0,120.0,0.0,12.0,12.0
2025-09-22 02:00:00,7200,0.0,0.0,0.0,96.0,60.0,156.0,12.0,0.0,12.0
2025-09-22 02:05:00,7500,0.0,0.0,0.0,132.0,36.0,168.0,0.0,0.0,0.0
2025-09-22 02:10:00,7800,12.0,0.0,12.0,120.0,24.0,144.0,0.0,12.0,12.0
2025-09-22 02:15:00,8100,12.0,0.0,12.0,144.0,108.0,252.0,24.0,0.0,24.0
2025-09-22 02:20:00,8400,0.0,0.0,0.0,60.0,12.0,72.0,0.0,0.0,0.0
2025-09-22 02:25:00,8700,24.0,12.0,36.0,120.0,84.0,204.0,0.0,36.0,36.0
2025-09-22 02:30:00,9000,0.0,0.0,0.0,20.0,80.0,100.0,80.0,0.0,80.0
2025-09-22 02:35:00,9300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-22 02:40:00,9600,4.285714285714286,0.0,4.285714285714286,4.285714285714286,12.857142857142858,17.142857142857142,0.0,0.0,0.0
2025-09-22 02:45:00,9900,8.571428571428571,0.0,8.571428571428571,8.571428571428571,25.714285714285715,34.285714285714285,0.0,0.0,0.0
2025-09-22 02:50:00,10200,12.857142857142858,0.0,12.857142857142858,12.857142857142858,38.57142857142857,51.42857142857143,0.0,0.0,0.0
2025-09-22 02:55:00,10500,17.142857142857142,0.0,17.142857142857142,17.142857142857142,51.42857142857143,68.57142857142857,0.0,0.0,0.0
2025-09-22 03:00:00,10800,21.428571428571427,0.0,21.428571428571427,21.428571428571427,64.28571428571429,85.71428571428571,0.0,0.0,0.0
2025-09-22 03:05:00,11100,25.714285714285715,0.0,25.714285714285715,25.714285714285715,77.14285714285714,102.85714285714286,0.0,0.0,0.0
2025-09-22 03:10:00,11400,30.0,0.0,30.0,30.0,90.0,120.0,0.0,0.0,0.0
2025-09-22 03:15:00,11700,34.285714285714285,0.0,34.285714285714285,34.285714285714285,102.85714285714286,137.14285714285714,0.0,0.0,0.0
2025-09-22 03:20:00,12000,38.57142857142857,0.0,38.57142857142857,38.57142857142857,115.71428571428572,154.28571428571428,0.0,0.0,0.0
2025-09-22 03:25:00,12300,42.857142857142854,0.0,42.857142857142854,42.857142857142854,128.57142857142858,171.42857142857142,0.0,0.0,0.0
2025-09-22 03:30:00,12600,47.14285714285714,0.0,47.14285714285714,47.14285714285714,141.42857142857144,188.57142857142856,0.0,0.0,0.0
2025-09-22 03:35:00,12900,51.42857142857143,0.0,51.42857142857143,51.42857142857143,154.28571428571428,205.71428571428572,0.0,0.0,0.0
2025-09-22 03:40:00,13200,55.714285714285715,0.0,55.714285714285715,55.714285714285715,167.14285714285714,222.85714285714286,0.0,0.0,0.0
2025-09-22 03:45:00,13500,60.0,0.0,60.0,60.0,180.0,240.0,0.0,0.0,0.0
2025-09-22 03:50:00,13800,0.0,0.0,0.0,108.0,60.0,168.0,12.0,0.0,12.0
2025-09-22 03:55:00,14100,12.0,12.0,24.0,72.0,120.0,192.0,12.0,0.0,12.0
