timestamp,time_sec,q_pkw_A_D,q_lkw_A_D,q_kfz_A_D,q_pkw_A_E,q_lkw_A_E,q_kfz_A_E,q_pkw_F_E,q_lkw_F_E,q_kfz_F_E
2025-10-13 00:00:00,0,60.0,0.0,60.0,204.0,48.0,252.0,60.0,0.0,60.0
2025-10-13 00:05:00,300,60.0,0.0,60.0,180.0,24.0,204.0,12.0,0.0,12.0
2025-10-13 00:10:00,600,36.0,12.0,48.0,276.0,96.0,372.0,12.0,0.0,12.0
2025-10-13 00:15:00,900,0.0,0.0,0.0,216.0,60.0,276.0,48.0,0.0,48.0
2025-10-13 00:20:00,1200,48.0,0.0,48.0,144.0,12.0,156.0,24.0,0.0,24.0
2025-10-13 00:25:00,1500,48.0,12.0,60.0,192.0,60.0,252.0,0.0,24.0,24.0
2025-10-13 00:30:00,1800,24.0,0.0,24.0,204.0,48.0,252.0,0.0,0.0,0.0
2025-10-13 00:35:00,2100,36.0,0.0,36.0,156.0,48.0,204.0,12.0,12.0,24.0
2025-10-13 00:40:00,2400,0.0,0.0,0.0,180.0,24.0,204.0,12.0,0.0,12.0
2025-10-13 00:45:00,2700,12.0,0.0,12.0,84.0,72.0,156.0,36.0,0.0,36.0
2025-10-13 00:50:00,3000,12.0,0.0,12.0,132.0,84.0,216.0,12.0,0.0,12.0
2025-10-13 00:55:00,3300,24.0,0.0,24.0,192.0,48.0,240.0,0.0,0.0,0.0
2025-10-13 01:00:00,3600,0.0,12.0,12.0,120.0,48.0,168.0,12.0,0.0,12.0
2025-10-13 01:05:00,3900,0.0,0.0,0.0,108.0,72.0,180.0,12.0,0.0,12.0
2025-10-13 01:10:00,4200,0.0,0.0,0.0,108.0,0.0,108.0,12.0,0.0,12.0
2025-10-13 01:15:00,4500,0.0,0.0,0.0,48.0,48.0,96.0,36.0,12.0,48.0
2025-10-13 01:20:00,4800,12.0,0.0,12.0,120.0,48.0,168.0,12.0,12.0,24.0
2025-10-13 01:25:00,5100,24.0,0.0,24.0,72.0,24.0,96.0,0.0,0.0,0.0
2025-10-13 01:30:00,5400,0.0,0.0,0.0,60.0,24.0,84.0,24.0,12.0,36.0
2025-10-13 01:35:00,5700,24.0,0.0,24.0,132.0,36.0,168.0,12.0,12.0,24.0
2025-10-13 01:40:00,6000,0.0,0.0,0.0,84.0,48.0,132.0,12.0,0.0,12.0
2025-10-13 01:45:00,6300,24.0,0.0,24.0,108.0,36.0,144.0,12.0,0.0,12.0
2025-10-13 01:50:00,6600,12.0,0.0,12.0,48.0,24.0,72.0,0.0,0.0,0.0
2025-10-13 01:55:00,6900,0.0,0.0,0.0,60.0,60.0,120.0,24.0,0.0,24.0
2025-10-13 02:00:00,7200,0.0,0.0,0.0,96.0,48.0,144.0,36.0,0.0,36.0
2025-10-13 02:05:00,7500,0.0,0.0,0.0,12.0,36.0,48.0,36.0,24.0,60.0
2025-10-13 02:10:00,7800,12.0,0.0,12.0,120.0,72.0,192.0,12.0,0.0,12.0
2025-10-13 02:15:00,8100,12.0,0.0,12.0,96.0,48.0,144.0,0.0,0.0,0.0
2025-10-13 02:20:00,8400,0.0,0.0,0.0,72.0,72.0,144.0,0.0,0.0,0.0
2025-10-13 02:25:00,8700,12.0,0.0,12.0,84.0,48.0,132.0,0.0,12.0,12.0
2025-10-13 02:30:00,9000,0.0,0.0,0.0,108.0,84.0,192.0,0.0,0.0,0.0
2025-10-13 02:35:00,9300,0.0,0.0,0.0,132.0,96.0,228.0,0.0,0.0,0.0
2025-10-13 02:40:00,9600,0.0,0.0,0.0,60.0,72.0,132.0,24.0,0.0,24.0
